number,Værelse,Start,Slut,Gæst
0,Værelse 1,2026-05-01T00:00:00.000,2026-05-03T00:00:00.000,85
1,Værelse 2,2026-05-01T00:00:00.000,2026-05-03T00:00:00.000,110
2,Værelse 3,2026-05-01T00:00:00.000,2026-05-03T00:00:00.000,68
3,Værelse 4,2026-05-01T00:00:00.000,2026-05-03T00:00:00.000,28
4,Værelse 5,2026-05-01T00:00:00.000,2026-05-03T00:00:00.000,28
5,Værelse 4,2026-05-03T00:00:00.000,2026-05-10T00:00:00.000,72
6,Værelse 5,2026-05-11T00:00:00.000,2026-05-13T00:00:00.000,63
7,Værelse 1,2026-05-13T00:00:00.000,2026-05-16T00:00:00.000,53
8,Værelse 2,2026-05-14T00:00:00.000,2026-05-17T00:00:00.000,90
9,Værelse 3,2026-05-14T00:00:00.000,2026-05-17T00:00:00.000,95
10,Værelse 4,2026-05-14T00:00:00.000,2026-05-17T00:00:00.000,97
11,Værelse 5,2026-05-15T00:00:00.000,2026-05-17T00:00:00.000,91
12,Værelse 1,2026-05-16T00:00:00.000,2026-05-21T00:00:00.000,8
13,Værelse 2,2026-05-17T00:00:00.000,2026-05-21T00:00:00.000,108
14,Værelse 4,2026-05-17T00:00:00.000,2026-05-21T00:00:00.000,96
15,Værelse 5,2026-05-17T00:00:00.000,2026-05-24T00:00:00.000,9
16,Værelse 5,2026-07-31T00:00:00.000,2026-08-03T00:00:00.000,132
17,Værelse 3,2026-05-18T00:00:00.000,2026-05-22T00:00:00.000,107
18,Værelse 1,2026-05-21T00:00:00.000,2026-05-25T00:00:00.000,20
19,Værelse 2,2026-05-21T00:00:00.000,2026-05-25T00:00:00.000,20
20,Værelse 4,2026-05-21T00:00:00.000,2026-05-25T00:00:00.000,20
21,Værelse 5,2026-05-27T00:00:00.000,2026-06-01T00:00:00.000,5
22,Værelse 1,2026-05-27T00:00:00.000,2026-05-31T00:00:00.000,128
23,Værelse 2,2026-05-29T00:00:00.000,2026-05-31T00:00:00.000,125
24,Værelse 1,2026-05-31T00:00:00.000,2026-06-05T00:00:00.000,117
25,Værelse 2,2026-05-31T00:00:00.000,2026-06-05T00:00:00.000,79
26,Værelse 5,2026-06-02T00:00:00.000,2026-06-06T00:00:00.000,12
27,Værelse 3,2026-06-03T00:00:00.000,2026-06-09T00:00:00.000,27
28,Værelse 4,2026-06-04T00:00:00.000,2026-06-07T00:00:00.000,116
29,Værelse 1,2026-06-05T00:00:00.000,2026-06-07T00:00:00.000,6
30,Værelse 2,2026-06-05T00:00:00.000,2026-06-07T00:00:00.000,6
31,Værelse 1,2026-06-07T00:00:00.000,2026-06-09T00:00:00.000,6
32,Værelse 5,2026-06-06T00:00:00.000,2026-06-09T00:00:00.000,119
33,Værelse 5,2026-06-09T00:00:00.000,2026-06-15T00:00:00.000,16
34,Værelse 5,2026-06-15T00:00:00.000,2026-06-22T00:00:00.000,86
35,Værelse 1,2026-06-22T00:00:00.000,2026-06-25T00:00:00.000,37
36,Værelse 1,2026-06-09T00:00:00.000,2026-06-15T00:00:00.000,16
37,Værelse 1,2026-06-17T00:00:00.000,2026-06-22T00:00:00.000,31
38,Værelse 4,2026-06-25T00:00:00.000,2026-06-29T00:00:00.000,87
39,Værelse 2,2026-06-08T00:00:00.000,2026-06-15T00:00:00.000,17
40,Værelse 2,2026-06-19T00:00:00.000,2026-06-22T00:00:00.000,109
41,Værelse 2,2026-06-26T00:00:00.000,2026-06-29T00:00:00.000,61
42,Værelse 3,2026-06-09T00:00:00.000,2026-06-14T00:00:00.000,18
43,Værelse 3,2026-06-14T00:00:00.000,2026-06-18T00:00:00.000,83
44,Værelse 3,2026-06-15T00:00:00.000,2026-06-21T00:00:00.000,56
45,Værelse 3,2026-06-21T00:00:00.000,2026-06-24T00:00:00.000,129
46,Værelse 3,2026-06-25T00:00:00.000,2026-07-05T00:00:00.000,34
47,Værelse 4,2026-06-08T00:00:00.000,2026-06-15T00:00:00.000,15
48,Værelse 4,2026-06-15T00:00:00.000,2026-06-20T00:00:00.000,70
49,Værelse 4,2026-06-21T00:00:00.000,2026-06-24T00:00:00.000,130
50,Værelse 1,2026-06-25T00:00:00.000,2026-06-28T00:00:00.000,64
51,Værelse 4,2026-06-29T00:00:00.000,2026-07-03T00:00:00.000,76
52,Værelse 4,2026-07-03T00:00:00.000,2026-07-10T00:00:00.000,14
53,Værelse 4,2026-07-11T00:00:00.000,2026-07-19T00:00:00.000,66
54,Værelse 5,2026-06-27T00:00:00.000,2026-07-04T00:00:00.000,77
55,Værelse 5,2026-07-04T00:00:00.000,2026-07-11T00:00:00.000,7
56,Værelse 1,2026-07-02T00:00:00.000,2026-07-05T00:00:00.000,24
57,Værelse 1,2026-07-06T00:00:00.000,2026-07-09T00:00:00.000,36
58,Værelse 1,2026-07-09T00:00:00.000,2026-07-12T00:00:00.000,69
59,Værelse 3,2026-07-06T00:00:00.000,2026-07-09T00:00:00.000,36
60,Værelse 3,2026-07-09T00:00:00.000,2026-07-13T00:00:00.000,84
61,Værelse 3,2026-07-13T00:00:00.000,2026-07-16T00:00:00.000,43
62,Værelse 3,2026-07-16T00:00:00.000,2026-07-19T00:00:00.000,131
63,Værelse 2,2026-07-01T00:00:00.000,2026-07-04T00:00:00.000,104
64,Værelse 2,2026-07-04T00:00:00.000,2026-07-07T00:00:00.000,106
65,Værelse 2,2026-07-08T00:00:00.000,2026-07-15T00:00:00.000,13
66,Værelse 1,2026-07-12T00:00:00.000,2026-07-26T00:00:00.000,19
67,Værelse 2,2026-07-18T00:00:00.000,2026-07-25T00:00:00.000,38
68,Værelse 3,2026-07-19T00:00:00.000,2026-07-24T00:00:00.000,44
69,Værelse 4,2026-07-19T00:00:00.000,2026-07-25T00:00:00.000,1
70,Værelse 5,2026-07-11T00:00:00.000,2026-07-22T00:00:00.000,62
71,Værelse 5,2026-07-22T00:00:00.000,2026-07-25T00:00:00.000,10
72,Værelse 1,2026-07-28T00:00:00.000,2026-07-31T00:00:00.000,055
73,Værelse 1,2026-07-31T00:00:00.000,2026-08-03T00:00:00.000,094
74,Værelse 1,2026-08-03T00:00:00.000,2026-08-08T00:00:00.000,011
75,Værelse 1,2026-08-10T00:00:00.000,2026-08-14T00:00:00.000,059
76,Værelse 1,2026-08-14T00:00:00.000,2026-08-16T00:00:00.000,121
77,Værelse 1,2026-08-17T00:00:00.000,2026-08-21T00:00:00.000,026
78,Værelse 1,2026-08-22T00:00:00.000,2026-08-25T00:00:00.000,065
79,Værelse 1,2026-08-27T00:00:00.000,2026-08-31T00:00:00.000,067
80,Værelse 1,2026-09-01T00:00:00.000,2026-09-05T00:00:00.000,126
81,Værelse 1,2026-09-11T00:00:00.000,2026-09-13T00:00:00.000,089
82,Værelse 1,2026-09-14T00:00:00.000,2026-09-16T00:00:00.000,100
83,Værelse 1,2026-09-17T00:00:00.000,2026-09-20T00:00:00.000,041
84,Værelse 5,2026-07-27T00:00:00.000,2026-07-31T00:00:00.000,030
85,Værelse 2,2026-08-02T00:00:00.000,2026-08-06T00:00:00.000,074
86,Værelse 2,2026-08-06T00:00:00.000,2026-08-13T00:00:00.000,032
87,Værelse 2,2026-08-13T00:00:00.000,2026-08-18T00:00:00.000,046
88,Værelse 2,2026-08-18T00:00:00.000,2026-08-20T00:00:00.000,133
89,Værelse 2,2026-08-20T00:00:00.000,2026-08-23T00:00:00.000,054
90,Værelse 2,2026-08-23T00:00:00.000,2026-08-26T00:00:00.000,120
91,Værelse 2,2026-08-26T00:00:00.000,2026-08-30T00:00:00.000,105
92,Værelse 2,2026-09-01T00:00:00.000,2026-09-05T00:00:00.000,126
93,Værelse 2,2026-09-11T00:00:00.000,2026-09-13T00:00:00.000,089
94,Værelse 2,2026-09-16T00:00:00.000,2026-09-21T00:00:00.000,047
95,Værelse 3,2026-07-26T00:00:00.000,2026-07-30T00:00:00.000,058
96,Værelse 4,2026-07-26T00:00:00.000,2026-07-29T00:00:00.000,058
97,Værelse 6,2026-07-29T00:00:00.000,2026-07-30T00:00:00.000,058
98,Værelse 3,2026-07-30T00:00:00.000,2026-08-02T00:00:00.000,115
99,Værelse 3,2026-08-02T00:00:00.000,2026-08-06T00:00:00.000,074
100,Værelse 3,2026-08-06T00:00:00.000,2026-08-13T00:00:00.000,033
101,Værelse 3,2026-08-13T00:00:00.000,2026-08-16T00:00:00.000,023
102,Værelse 3,2026-08-17T00:00:00.000,2026-08-21T00:00:00.000,052
103,Værelse 3,2026-08-21T00:00:00.000,2026-08-23T00:00:00.000,054
104,Værelse 3,2026-08-23T00:00:00.000,2026-08-25T00:00:00.000,122
105,Værelse 3,2026-08-26T00:00:00.000,2026-09-03T00:00:00.000,078
106,Værelse 3,2026-09-12T00:00:00.000,2026-09-19T00:00:00.000,103
107,Værelse 4,2026-07-29T00:00:00.000,2026-08-04T00:00:00.000,057
108,Værelse 4,2026-08-06T00:00:00.000,2026-08-09T00:00:00.000,045
109,Værelse 4,2026-08-09T00:00:00.000,2026-08-12T00:00:00.000,114
110,Værelse 4,2026-08-12T00:00:00.000,2026-08-16T00:00:00.000,004
111,Værelse 4,2026-08-16T00:00:00.000,2026-08-21T00:00:00.000,051
112,Værelse 4,2026-08-21T00:00:00.000,2026-08-24T00:00:00.000,093
113,Værelse 4,2026-08-24T00:00:00.000,2026-08-28T00:00:00.000,060
114,Værelse 4,2026-08-28T00:00:00.000,2026-09-04T00:00:00.000,123
115,Værelse 4,2026-09-05T00:00:00.000,2026-09-06T00:00:00.000,113
116,Værelse 2,2026-09-14T00:00:00.000,2026-09-16T00:00:00.000,101
117,Værelse 5,2026-09-17T00:00:00.000,2026-09-20T00:00:00.000,042
118,Værelse 2,2026-07-25T00:00:00.000,2026-08-01T00:00:00.000,049
119,Værelse 5,2026-08-03T00:00:00.000,2026-08-07T00:00:00.000,050
120,Værelse 5,2026-08-07T00:00:00.000,2026-08-12T00:00:00.000,092
121,Værelse 5,2026-08-12T00:00:00.000,2026-08-16T00:00:00.000,004
122,Værelse 5,2026-08-17T00:00:00.000,2026-08-22T00:00:00.000,021
123,Værelse 5,2026-08-22T00:00:00.000,2026-08-27T00:00:00.000,025
124,Værelse 5,2026-08-27T00:00:00.000,2026-08-31T00:00:00.000,035
125,Værelse 5,2026-09-06T00:00:00.000,2026-09-17T00:00:00.000,022
126,Værelse 5,2026-09-21T00:00:00.000,2026-09-26T00:00:00.000,124
127,Værelse 6,2026-08-13T00:00:00.000,2026-08-14T00:00:00.000,121
128,Værelse 6,2026-08-20T00:00:00.000,2026-08-21T00:00:00.000,054
129,Værelse 2,2026-05-07T00:00:00.000,2026-05-10T00:00:00.000,080
130,Værelse 3,2026-05-07T00:00:00.000,2026-05-10T00:00:00.000,080
